"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.23598712965309e-190,0.590545244977699,0.999,0.998,2.96313014421628e-186,"0","Malat1"
2.70250748989637e-164,1.04223384398914,0.823,0.56,3.58136292561068e-160,"0","Arl4c"
1.9599061476446e-105,0.424163819407552,1,0.997,2.59726762685863e-101,"0","Rps29"
2.44856001863569e-104,0.876404626340621,0.746,0.495,3.24483173669602e-100,"0","Klrk1"
3.45999282411173e-98,0.252675605074943,1,1,4.58518249051286e-94,"0","Tpt1"
7.70215593098752e-89,0.342224222665431,0.999,0.994,1.02068970397447e-84,"0","Rps27"
1.05519491890257e-86,1.12367636227694,0.518,0.29,1.39834430652968e-82,"0","Tespa1"
1.1287314104672e-84,0.679758959621145,0.891,0.729,1.49579486515113e-80,"0","Ahnak"
2.05970342415681e-83,0.852699738189281,0.66,0.419,2.72951897769261e-79,"0","Zeb2"
2.68364403860069e-72,0.262454169477211,1,0.999,3.55636507995364e-68,"0","Rps21"
5.54696625839483e-67,0.66398386563856,0.754,0.587,7.35083968562482e-63,"0","Txnip"
1.76945009312547e-65,0.722843789093913,0.691,0.524,2.34487526340988e-61,"0","Rabac1"
1.37457418937727e-59,0.641021490109434,0.771,0.631,1.82158571576275e-55,"0","Dnaja1"
1.49061745192462e-57,0.552841016430273,0.772,0.587,1.9753662472905e-53,"0","Itgb1"
2.73811088636114e-56,0.30894231443262,0.987,0.975,3.62854454660578e-52,"0","Rpl5"
2.69746237669195e-54,0.807344720522337,0.401,0.22,3.57467714159217e-50,"0","Il7r"
3.43063607060612e-49,0.348362847083536,0.965,0.818,4.54627892076723e-45,"0","Klf2"
6.98122063888541e-49,0.852260991505273,0.49,0.322,9.25151359065095e-45,"0","Chd3"
2.57445181399209e-48,0.275228539262147,0.987,0.981,3.41166354390232e-44,"0","Fth1"
1.7225650459178e-47,0.996194191629972,0.31,0.161,2.28274319885027e-43,"0","S1pr5"
1.60583360724454e-44,0.423498908894869,0.872,0.742,2.12805069632047e-40,"0","Btg1"
2.98597921135499e-41,0.62933021703183,0.679,0.541,3.95701965088763e-37,"0","Atp2b1"
5.16836976221234e-41,0.555374339266192,0.694,0.539,6.84912360888379e-37,"0","Il18r1"
5.25253878508979e-39,0.399634211179555,0.877,0.801,6.96066439800099e-35,"0","Thy1"
1.23133550466451e-37,0.599655622963146,0.355,0.204,1.63176581078141e-33,"0","Tcf7"
2.4929422320273e-35,0.529112524301433,0.653,0.512,3.30364704588258e-31,"0","Gm2682"
1.40390526457201e-34,0.603456056173071,0.485,0.325,1.86045525661083e-30,"0","Ccr2"
2.07309885862854e-34,0.316250745813049,0.817,0.64,2.74727060745454e-30,"0","Klrd1"
3.37138878150272e-34,0.693431386005925,0.539,0.405,4.4677644132474e-30,"0","AC149090.1"
3.73876053737779e-34,0.409295433736763,0.816,0.732,4.95460546413305e-30,"0","Rsrp1"
1.84462729740793e-32,0.33358274905956,0.885,0.769,2.44450009452499e-28,"0","Id2"
2.639664102197e-32,0.728607411348339,0.479,0.349,3.49808286823147e-28,"0","Klrc2"
5.11686460271671e-32,0.50416623897911,0.802,0.724,6.78086897152018e-28,"0","Gm42418"
1.39233988902675e-31,0.332927743416614,0.903,0.849,1.84512882093825e-27,"0","Rbm39"
2.35702110240034e-29,0.258508348812379,0.985,0.966,3.12352436490093e-25,"0","mt-Nd2"
2.49771126873101e-27,0.464304808845795,0.634,0.52,3.30996697332233e-23,"0","Ccnd2"
6.74794404205422e-25,0.487222100434737,0.548,0.42,8.94237544453026e-21,"0","Il18rap"
5.9928288699367e-24,0.276839844407869,0.931,0.887,7.94169681844012e-20,"0","Lck"
8.07741753933746e-24,0.483439292761472,0.605,0.494,1.070419372313e-19,"0","Btg2"
8.1634483011312e-24,0.423423967866807,0.649,0.535,1.08182016886591e-19,"0","Gm26740"
1.31033392077949e-23,0.416508628895936,0.567,0.441,1.73645451181698e-19,"0","Klrc1"
2.11150964270032e-23,0.345770648301957,0.763,0.676,2.79817257850647e-19,"0","Ppp1r12a"
4.69458695370654e-23,0.539148758738028,0.488,0.371,6.2212666310519e-19,"0","Satb1"
1.87960105756273e-22,0.251724391523632,0.987,0.971,2.49084732148213e-18,"0","Hsp90ab1"
4.21717746936015e-22,0.562912838049657,0.389,0.274,5.58860358239607e-18,"0","Slco3a1"
4.26674179840538e-22,0.344419102937047,0.751,0.644,5.65428623124681e-18,"0","Spn"
6.34218036289594e-22,0.470766951760836,0.582,0.465,8.4046574169097e-18,"0","Klf3"
6.74277237557035e-21,0.348499504177113,0.705,0.602,8.93552195210582e-17,"0","Hopx"
9.93239108455343e-21,0.443170109996597,0.587,0.485,1.31624046652502e-16,"0","Stk38"
