"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.03200714235901e-216,2.55925218843828,0.876,0.328,2.52476887438107e-212,"0","Zeb2"
2.51099826547867e-159,4.23989159521839,0.454,0.038,3.11991534485725e-155,"0","Kcnj8"
7.09997914245191e-157,1.25396311947256,0.994,0.683,8.8217240844965e-153,"0","Klf2"
2.20589028431897e-119,1.79482376350046,0.747,0.308,2.74081867826632e-115,"0","Cx3cr1"
5.18313520790114e-119,1.70126082923688,0.816,0.426,6.44004549581716e-115,"0","Klrk1"
1.25431459961592e-116,1.43834834525124,0.877,0.591,1.55848589002278e-112,"0","Arl4c"
8.46550648770685e-112,2.9014252118711,0.486,0.115,1.05183918109758e-107,"0","S1pr5"
2.40196365830481e-111,3.40720232270196,0.42,0.072,2.98443984544373e-107,"0","Klrb1c"
1.90767252736409e-89,1.11326225468097,0.903,0.69,2.37028311524988e-85,"0","Ahnak"
2.83123143397228e-88,1.15988529512889,0.877,0.566,3.51780505671056e-84,"0","Klrd1"
2.25628497702299e-82,0.774961273905448,0.992,0.981,2.80343408395107e-78,"0","Hsp90ab1"
1.92542455443858e-72,1.83106761483488,0.519,0.196,2.39234000888993e-68,"0","Klrg1"
5.58645284107815e-71,0.900273494429791,0.893,0.74,6.94116765503961e-67,"0","Rap1b"
7.07663149906842e-71,1.03650661413446,0.858,0.728,8.79271463759251e-67,"0","Dnaja1"
1.0826140867983e-70,0.390377663482314,1,0.999,1.34514800284688e-66,"0","Rps29"
2.38624733571201e-67,1.33940268847042,0.7,0.467,2.96491231462217e-63,"0","Klrc1"
1.8404773023635e-65,0.993572810644145,0.851,0.622,2.28679304818665e-61,"0","Itgb1"
3.05941811710633e-61,2.59185786630929,0.335,0.088,3.80132701050461e-57,"0","Klre1"
7.5469515015616e-61,0.531576372478368,0.996,0.79,9.37708724069029e-57,"0","Lgals1"
1.08029882922079e-57,1.5331981372266,0.575,0.326,1.34227129530683e-53,"0","Il18rap"
2.69177463845658e-57,1.42632978446936,0.637,0.435,3.3445299882823e-53,"0","Chd3"
3.59058173870102e-57,0.701084110278693,0.972,0.614,4.46129781033601e-53,"0","Ly6c2"
1.13335519197322e-55,0.527995444779337,0.986,0.971,1.40819382602672e-51,"0","Cd8b1"
4.3663260260605e-55,2.45744685480583,0.334,0.1,5.42516008738017e-51,"0","As3mt"
1.41375124262017e-54,0.635281969571607,0.947,0.845,1.75658591895556e-50,"0","Emp3"
4.26946239484033e-51,0.461571717299935,0.997,0.974,5.30480702558911e-47,"0","mt-Cytb"
7.67259640905111e-49,0.502458481209348,0.999,0.991,9.533201038246e-45,"0","Malat1"
1.00150031838375e-46,0.881828291902721,0.809,0.697,1.24436414559181e-42,"0","Atp1b3"
6.87006935905007e-45,0.841672235651834,0.764,0.685,8.53606117861971e-41,"0","Rabac1"
8.50773285992764e-42,1.10668589172391,0.669,0.511,1.05708580784601e-37,"0","Atp2b1"
1.43244024005658e-41,1.54024818760818,0.512,0.324,1.7798069982703e-37,"0","Tespa1"
1.03286458766028e-39,0.708895074052617,0.866,0.836,1.2833342501679e-35,"0","Jak1"
2.04515257564415e-39,0.678368461311372,0.853,0.688,2.54110207523785e-35,"0","Dnajc15"
3.14638008908923e-39,0.65379338041007,0.852,0.782,3.90937726069337e-35,"0","Krtcap2"
1.13313032479022e-38,0.547765248074908,0.949,0.928,1.40791442855185e-34,"0","Lck"
1.27540108721886e-37,0.734465857920668,0.831,0.767,1.58468585086943e-33,"0","Rsrp1"
8.49837116150601e-37,0.798936030979413,0.735,0.633,1.05592261681712e-32,"0","Prf1"
1.81482568448805e-36,0.667141003584811,0.857,0.78,2.2549209129764e-32,"0","Thy1"
8.52993926257266e-36,1.80101082117006,0.361,0.174,1.05984495337465e-31,"0","Borcs7"
1.17772258383578e-35,0.812454383702601,0.755,0.685,1.46332031041595e-31,"0","Txnip"
2.56601101594031e-34,0.759428274307823,0.774,0.595,3.18826868730584e-30,"0","Tagln2"
3.60255949221599e-34,0.964113530261578,0.709,0.625,4.47618016907836e-30,"0","Hsp90aa1"
4.3991294063712e-34,0.905942599924051,0.68,0.584,5.46591828741621e-30,"0","Ywhaq"
3.35839686376825e-33,1.33772297639978,0.516,0.356,4.17280810323205e-29,"0","Ptpn6"
1.05603969787984e-32,0.874759679806895,0.688,0.618,1.3121293246157e-28,"0","Ccnd3"
7.57397935853371e-32,1.7519451331417,0.354,0.185,9.41066935297814e-28,"0","Sgk1"
9.11365207062896e-32,0.888174012004946,0.671,0.561,1.13237126977565e-27,"0","Hopx"
1.82295546558726e-31,1.48853892800828,0.465,0.308,2.26502216599217e-27,"0","Klrc2"
6.35378383358661e-31,0.825856443119105,0.698,0.605,7.89457641323136e-27,"0","Spn"
3.75302574866143e-30,0.350149041645904,0.991,0.987,4.66313449271182e-26,"0","Eif1"
2.50500219282372e-29,0.330762219963881,0.991,0.98,3.11246522458347e-25,"0","Rps25"
1.33078319578784e-26,0.406288372779889,0.93,0.885,1.65349812076639e-22,"0","Ctsd"
1.91440890381758e-26,1.02665044521558,0.562,0.438,2.37865306299334e-22,"0","Klf3"
2.92039623382935e-26,0.387215768782872,0.956,0.938,3.62859232053297e-22,"0","H3f3a"
3.46268841611786e-26,0.294007641392461,0.991,0.986,4.30239035702645e-22,"0","Ppia"
6.3085871419396e-26,1.08361434909425,0.516,0.394,7.83841952385995e-22,"0","Arhgef18"
1.02764414536276e-25,0.718673069831206,0.745,0.707,1.27684785061323e-21,"0","Hspe1"
6.0755120569974e-25,0.893613689319121,0.614,0.489,7.54882373081927e-21,"0","Gm2682"
9.0448618115646e-25,0.288924703528263,0.999,0.987,1.1238240800869e-20,"0","Tmsb10"
1.04718864749055e-24,1.57269768440818,0.356,0.211,1.301131894507e-20,"0","Hist1h1c"
1.950345536082e-24,1.07761460305918,0.504,0.384,2.42330432858188e-20,"0","S1pr1"
4.25527844470576e-24,0.862639375112899,0.597,0.474,5.28718346754691e-20,"0","Il18r1"
5.62250927431406e-24,0.342696829420619,0.971,0.969,6.98596777333522e-20,"0","Laptm5"
4.16762200565581e-23,0.764635560995068,0.656,0.595,5.17827034202735e-19,"0","Rasgrp2"
5.88535423722732e-23,0.46091920350106,0.916,0.888,7.31255263975495e-19,"0","Srgn"
5.39359382776095e-22,1.25666917743061,0.413,0.285,6.70154033099298e-18,"0","Tbx21"
1.10645982236527e-21,0.864257981073023,0.607,0.546,1.37477632928885e-17,"0","Slamf7"
3.93017114376619e-21,0.264487492097628,0.954,0.919,4.88323764612949e-17,"0","H2afz"
