"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.51099826547867e-159,4.23989159521839,0.454,0.038,3.11991534485725e-155,"0","Kcnj8"
2.40196365830481e-111,3.40720232270196,0.42,0.072,2.98443984544373e-107,"0","Klrb1c"
8.46550648770685e-112,2.9014252118711,0.486,0.115,1.05183918109758e-107,"0","S1pr5"
3.05941811710633e-61,2.59185786630929,0.335,0.088,3.80132701050461e-57,"0","Klre1"
2.03200714235901e-216,2.55925218843828,0.876,0.328,2.52476887438107e-212,"0","Zeb2"
4.3663260260605e-55,2.45744685480583,0.334,0.1,5.42516008738017e-51,"0","As3mt"
1.92542455443858e-72,1.83106761483488,0.519,0.196,2.39234000888993e-68,"0","Klrg1"
8.52993926257266e-36,1.80101082117006,0.361,0.174,1.05984495337465e-31,"0","Borcs7"
2.20589028431897e-119,1.79482376350046,0.747,0.308,2.74081867826632e-115,"0","Cx3cr1"
7.57397935853371e-32,1.7519451331417,0.354,0.185,9.41066935297814e-28,"0","Sgk1"
2.35876520581238e-116,4.63961510406814,0.315,0.018,2.93076576822188e-112,"1","2900026A02Rik"
1.53584821295226e-134,4.27286850564686,0.388,0.029,1.90829140459319e-130,"1","Sept4"
3.77717579626385e-158,4.17024525167874,0.466,0.041,4.69314092685783e-154,"1","Cd244a"
1.2981799118523e-276,4.0093257944326,0.921,0.272,1.61298854047648e-272,"1","Cd7"
2.70005453541118e-113,3.98830944427491,0.346,0.03,3.35481776024839e-109,"1","Chn2"
3.20023907436145e-80,3.73499905128403,0.267,0.027,3.97629704989411e-76,"1","Adgrg1"
7.63309279794655e-207,3.54270215372682,0.728,0.137,9.48411780144859e-203,"1","Rgs1"
7.8454983292518e-114,3.5130851433912,0.415,0.058,9.74803167409537e-110,"1","Actn2"
4.49465683056144e-71,3.26251051604004,0.346,0.072,5.58461111197259e-67,"1","Gm36723"
1.80622955993189e-120,3.09125510716938,0.575,0.138,2.24424022821537e-116,"1","Ccl3"
2.84203216552612e-99,3.59553364175342,0.278,0.015,3.5312249656662e-95,"2","Ube2c"
6.22434016766914e-125,2.72792492937474,0.494,0.059,7.73374265832891e-121,"2","Itgax"
6.40673984724641e-61,2.1216303235094,0.333,0.058,7.96037426020366e-57,"2","AA467197"
1.46963554016703e-56,2.00910594043324,0.292,0.048,1.82602215865753e-52,"2","Tnfrsf13b"
9.49766048512846e-64,1.95237689792588,0.47,0.119,1.18008431527721e-59,"2","Apobec2"
6.17459694447291e-124,1.93970248686713,0.905,0.35,7.67193670350759e-120,"2","Plac8"
2.40553774333386e-50,1.83188047969174,0.439,0.131,2.98888064609233e-46,"2","Ctla2b"
1.7819966396132e-43,1.74812241907254,0.252,0.046,2.21413082471941e-39,"2","Fhl2"
6.41451806525673e-69,1.65949325889383,0.539,0.137,7.97003869608149e-65,"2","Wdr95"
8.47722351591259e-44,1.58155039765444,0.359,0.093,1.05329502185214e-39,"2","Gstp3"
2.47872893781831e-92,2.82835881109631,0.497,0.092,3.07982070523925e-88,"3","Gpr183"
