"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.05519491890257e-86,1.12367636227694,0.518,0.29,1.39834430652968e-82,"0","Tespa1"
2.70250748989637e-164,1.04223384398914,0.823,0.56,3.58136292561068e-160,"0","Arl4c"
1.7225650459178e-47,0.996194191629972,0.31,0.161,2.28274319885027e-43,"0","S1pr5"
2.44856001863569e-104,0.876404626340621,0.746,0.495,3.24483173669602e-100,"0","Klrk1"
2.05970342415681e-83,0.852699738189281,0.66,0.419,2.72951897769261e-79,"0","Zeb2"
6.98122063888541e-49,0.852260991505273,0.49,0.322,9.25151359065095e-45,"0","Chd3"
2.69746237669195e-54,0.807344720522337,0.401,0.22,3.57467714159217e-50,"0","Il7r"
2.639664102197e-32,0.728607411348339,0.479,0.349,3.49808286823147e-28,"0","Klrc2"
1.76945009312547e-65,0.722843789093913,0.691,0.524,2.34487526340988e-61,"0","Rabac1"
3.37138878150272e-34,0.693431386005925,0.539,0.405,4.4677644132474e-30,"0","AC149090.1"
3.61264078576649e-127,2.19302810511234,0.292,0.072,4.78747156929776e-123,"1","Kremen2"
2.52689138365243e-102,1.75226480621873,0.333,0.108,3.3486364616162e-98,"1","Card19"
1.06160532655434e-242,1.68483326690826,0.712,0.249,1.40683937874981e-238,"1","Tox"
6.20357783724394e-73,1.56330184908938,0.28,0.098,8.22098134991566e-69,"1","Smim20"
4.64826931307123e-61,1.42665020057445,0.284,0.112,6.15988649368199e-57,"1","Tmem37"
3.2419119855354e-74,1.35738253528767,0.37,0.156,4.29618176323151e-70,"1","Rom1"
6.33563560921383e-86,1.32942616126871,0.495,0.24,8.39598430933017e-82,"1","Cdk6"
1.67527416055073e-134,1.29757066455646,0.748,0.443,2.22007331756183e-130,"1","Bcl2"
1.82597892561027e-82,1.27662015927594,0.5,0.247,2.41978727221873e-78,"1","Ubash3b"
1.20155007369357e-39,1.26151713720186,0.253,0.117,1.59229415765872e-35,"1","Paxx"
3.60568636885911e-291,2.9955808744838,0.411,0.063,4.77825557601209e-287,"2","Kcnj8"
1.39933183279495e-200,2.33136236549587,0.408,0.092,1.85439454481986e-196,"2","Klre1"
